city,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
Catheys Valley,802,375,427,17,15,0,40,22,63,14,188,153,34,144,99,13,55.4,92,644,0,0,0,0,132,51094.0,791,505,534,11,2012
Cayucos,2431,1164,1267,132,95,10,34,147,97,178,385,277,380,328,252,116,57.2,181,2127,0,18,80,0,50,62961.0,2137,1776,893,294,2012
Cedarville,508,275,233,26,36,15,30,2,45,31,78,52,60,63,46,24,53.7,106,395,0,5,2,0,0,37000.0,435,297,244,63,2012
Ceres,45086,21984,23102,3820,3629,3892,3831,3340,6964,5666,5946,2093,2031,2187,1234,453,30.7,24867,14843,725,327,2870,256,2336,47510.0,36577,23603,16235,8430,2012
Cerritos,49296,23579,25717,1879,2563,3605,3880,3040,4822,6188,7628,3753,3699,5148,2126,965,43.3,5791,7877,3656,191,29975,162,3026,87788.0,42840,36843,11072,6373,2012
Cherry Valley,5311,2590,2721,81,84,186,310,193,393,411,710,571,520,1003,609,240,57.7,1001,4081,34,15,122,0,116,52000.0,4363,3201,2353,890,2012
Chester,2155,1077,1078,87,94,581,83,0,147,359,159,172,44,273,121,35,35.5,62,2087,6,0,0,0,0,29904.0,1610,1192,868,519,2012
Chico,86391,42330,44061,5214,4405,4164,8437,15224,13036,8874,9621,4743,3823,4117,3229,1504,28.8,13617,62984,1457,506,3973,158,7316,42896.0,70789,55356,23495,14884,2012
Chino,78713,40394,38319,5077,5135,5236,6055,6115,12960,12337,11662,4300,3501,3912,1760,663,34.1,41357,21832,3890,392,8647,142,4608,71671.0,58595,48200,13828,12118,2012
Chino Hills,75211,37277,37934,4579,4736,6469,6262,5792,8526,10869,13629,5390,3771,3086,1603,499,36.1,22656,25367,3107,237,21068,109,5058,97065.0,65395,58779,10350,9728,2012
Chowchilla,18427,5701,12726,830,834,1120,936,1419,3547,3090,3289,946,698,1038,517,163,36.3,7035,7909,2122,266,374,402,638,41373.0,9761,5770,4818,2035,2012
Chualar,1148,596,552,53,142,104,104,103,201,127,186,26,34,32,28,8,28.3,1056,57,10,8,14,0,6,58214.0,881,589,321,267,2012
Chula Vista,242499,117107,125392,17351,18804,19026,19917,18087,32662,34728,34877,12638,9742,13404,7861,3402,33.8,138182,51387,10916,700,33933,940,12731,65364.0,195764,156304,58194,42007,2012
Citrus Heights,84104,40376,43728,4806,5374,5438,5560,6412,12114,11023,12282,5414,4205,6131,3741,1604,37.0,14215,62200,2245,620,1968,537,4478,54236.0,71335,56952,25497,12239,2012
Claremont,35043,16659,18384,1437,1938,2080,4617,3390,2908,3889,4620,2191,2375,2759,1841,998,38.7,7127,20194,1819,79,4715,30,2129,80754.0,32023,27398,7865,2643,2012
Clarksburg,422,203,219,6,29,6,7,0,71,23,40,82,31,46,50,31,57.3,61,302,0,0,0,59,0,42474.0,347,347,113,75,2012
Clayton,11020,5558,5462,480,671,808,843,502,875,1338,2169,736,859,1103,430,206,45.0,1096,8669,224,31,658,0,649,123686.0,10603,9866,2132,408,2012
Clearlake,15127,7607,7520,997,937,825,1205,1067,1744,1818,2326,948,1218,1101,655,286,38.3,3503,9664,840,227,131,29,1359,25916.0,11579,4798,8392,3463,2012
Clearlake Oaks,1462,707,755,71,0,15,51,50,53,121,360,163,80,260,197,41,56.0,20,1300,80,0,0,0,105,29057.0,1282,952,809,180,2012
Cloverdale,8515,4151,4364,733,507,675,356,350,1287,1030,1310,661,419,612,382,193,37.5,2745,5167,41,18,386,0,316,56978.0,7455,5912,2585,1028,2012
Clovis,95431,45671,49760,6526,7354,7945,7984,7126,12327,12467,13338,5319,4890,5452,3291,1412,33.5,24694,54891,2743,887,9494,173,4809,63983.0,82747,67940,24426,12213,2012
Coachella,40658,20609,20049,3961,4241,5077,4156,2878,6567,5777,4003,1329,916,1091,508,154,25.0,39503,551,445,34,25,14,158,41611.0,25997,13435,13288,14661,2012
