city,enrollment,vaccinated,school_year,year,vac_pct,geoid,male_pct,female_pct,under_5_pct,5_9_pct,10_14_pct,15_19_pct,20_24_pct,25_34_pct,35_44_pct,45_54_pct,55_59_pct,60_64_pct,65_74_pct,75_84_pct,85_over_pct,median_age,hispanic_latino_pct,white_pct,black_pct,aian_pct,asian_pct,nhopi_pct,other_pct,median_income,insurance_pct,private_insure_pct,public_insure_pct,no_insurance_pct
Bell,5452.0,5397.0,2011-2012,2012,98.991195891416,1600000US0604870,52.4,47.6,10.1,7.5,8.6,9.9,8.1,14.3,15.0,12.0,4.9,3.1,3.0,2.4,1.1,28.7,91.8,6.0,1.1,0.0,0.4,0.4,0.4,36654.0,61.2,27.9,34.9,38.8
Bell Gardens,6221.0,6192.0,2011-2012,2012,99.53383700369716,1600000US0604996,50.2,49.8,9.5,9.0,9.7,10.2,7.9,15.3,14.7,11.6,4.2,2.7,3.2,1.3,0.8,27.2,97.2,2.0,0.5,0.0,0.2,0.0,0.1,38272.0,60.9,27.9,35.0,39.1
Bella Vista,171.0,153.0,2011-2012,2012,89.47368421052632,1600000US0604926,46.8,53.2,7.5,2.1,8.6,8.0,4.9,7.8,11.5,19.3,3.4,4.5,14.0,7.2,1.3,44.7,7.8,87.7,0.1,2.1,0.6,0.8,1.8,63125.0,93.8,68.1,44.3,6.2
Bellflower,5732.0,5654.0,2011-2012,2012,98.63921842288904,1600000US0604982,48.7,51.3,8.3,8.0,8.3,7.9,8.0,14.6,14.3,12.5,5.2,4.3,4.8,2.9,0.8,31.4,53.9,19.5,13.6,0.3,10.8,0.3,2.9000000000000004,50765.0,78.6,53.5,30.4,21.4
Belmont,4243.0,4175.0,2011-2012,2012,98.3973603582371,1600000US0605108,49.4,50.6,7.4,5.6,5.6,4.8,4.0,12.6,16.5,15.4,7.1,5.3,7.5,5.6,2.5,40.3,10.7,58.0,2.3,0.2,22.3,0.0,12.8,103083.0,92.6,85.4,19.5,7.4
Belvedere,61.0,58.0,2011-2012,2012,95.08196721311475,1600000US0605164,49.8,50.2,3.6,9.6,4.3,5.4,1.1,2.5,10.6,12.3,11.1,6.7,15.3,11.0,6.5,55.2,7.0,87.2,0.3,0.0,2.6,0.0,5.8,166458.0,95.0,86.4,32.5,5.0
Ben Lomond,209.0,156.0,2011-2012,2012,74.64114832535886,1600000US0605332,49.2,50.8,5.9,4.6,4.9,6.0,6.9,14.6,12.0,17.4,8.7,8.5,7.2,1.5,1.7,42.3,8.3,88.0,0.0,0.1,1.0,0.0,4.6,78281.0,87.5,74.1,22.5,12.5
Benicia,3279.0,3218.0,2011-2012,2012,98.13967673071058,1600000US0605290,48.8,51.2,3.8,6.2,7.9,7.2,4.5,9.6,12.3,18.8,9.5,7.3,7.6,4.4,0.9,43.9,14.3,65.8,3.6,0.4,9.8,0.7,10.7,88691.0,91.3,82.8,20.3,8.7
Berkeley,9465.0,8958.0,2011-2012,2012,94.64342313787638,1600000US0606000,48.9,51.1,3.7,3.8,3.0,11.0,16.8,15.9,11.3,11.2,5.8,5.4,7.3,3.0,1.7,31.7,11.1,55.5,8.5,0.2,19.6,0.3,9.2,63505.0,91.4,81.7,18.9,8.6
Bermuda Dunes,537.0,448.0,2011-2012,2012,83.42644320297951,1600000US0606028,51.6,48.4,10.9,7.2,2.6,5.4,5.6,11.4,14.7,12.3,8.7,7.4,8.1,4.1,1.7,39.2,25.9,64.1,6.4,0.0,0.9,0.0,5.4,61935.0,81.6,64.4,27.8,18.4
Berry Creek,12.0,10.0,2011-2012,2012,83.33333333333334,1600000US0606070,56.4,43.6,4.8,2.1,5.5,4.8,2.9,8.7,13.8,13.8,17.0,7.9,13.3,2.9,2.4,51.5,4.7,83.6,0.0,1.3,0.3,0.0,20.2,40188.0,73.5,48.4,44.0,26.5
Beverly Hills,3510.0,3315.0,2011-2012,2012,94.44444444444444,1600000US0606308,46.0,54.0,4.0,4.8,6.3,6.1,6.3,12.6,12.6,15.5,6.0,6.2,8.9,6.6,4.1,42.8,5.0,83.8,2.8,0.1,5.3,0.1,5.6,85918.0,91.0,81.8,22.4,9.0
Bieber,116.0,112.0,2011-2012,2012,96.55172413793103,1600000US0606336,48.0,52.0,5.3,6.8,4.3,6.4,19.2,14.2,15.3,11.4,1.8,1.1,6.0,7.5,0.7,32.0,23.1,73.7,0.0,0.0,1.4,0.0,3.6,68750.0,86.5,62.6,39.9,13.5
Big Bear City,921.0,819.0,2011-2012,2012,88.92508143322475,1600000US0606406,48.4,51.6,6.5,2.9,6.3,6.6,8.1,11.9,8.0,14.7,8.6,9.3,9.2,6.3,1.5,44.7,21.0,75.9,0.7,0.6,0.7,0.0,1.9,42957.0,73.4,53.9,34.4,26.6
Big Bear Lake,564.0,505.0,2011-2012,2012,89.53900709219859,1600000US0606434,46.6,53.4,4.1,3.5,8.2,5.6,2.6,11.1,14.0,11.6,8.0,6.2,13.8,8.7,2.8,45.9,19.7,76.8,0.6,1.0,0.0,1.3,1.0,32869.0,65.5,45.0,40.7,34.5
Big Pine,135.0,134.0,2011-2012,2012,99.25925925925925,1600000US0606616,50.6,49.4,5.8,6.4,5.2,7.5,3.1,11.2,13.5,14.4,5.8,9.8,7.6,7.2,2.6,41.8,7.7,75.6,0.0,14.1,1.4,0.4,1.6,57727.0,82.3,63.7,33.9,17.7
Big River,12.0,12.0,2011-2012,2012,100.0,1600000US0606635,47.8,52.2,0.0,0.6,3.5,3.4,2.5,3.2,4.4,25.5,9.7,7.7,19.8,17.7,2.0,58.4,10.9,79.6,0.0,4.2,0.0,0.0,10.6,29063.0,72.5,53.2,46.9,27.5
Biggs,331.0,306.0,2011-2012,2012,92.44712990936556,1600000US0606560,50.5,49.5,9.5,6.6,6.0,6.5,7.6,16.6,11.2,11.3,5.6,5.5,9.1,3.3,1.2,33.4,40.0,50.0,0.0,0.1,4.0,1.3,9.2,40250.0,85.0,45.1,54.0,15.0
Bishop,1328.0,1305.0,2011-2012,2012,98.26807228915662,1600000US0606798,48.0,52.0,7.4,2.5,7.0,5.7,5.5,9.8,11.3,15.9,11.0,6.7,6.7,6.5,4.1,45.5,33.0,60.9,0.4,2.2,2.8,0.0,1.2,29568.0,80.4,56.0,34.9,19.6
Bloomington,5658.0,5611.0,2011-2012,2012,99.16931778013432,1600000US0607064,50.9,49.1,7.5,8.4,10.4,11.1,8.4,12.5,13.6,13.8,4.2,3.7,3.9,1.9,0.6,28.8,82.3,12.5,2.6,0.5,0.7,0.2,2.5,46639.0,70.6,41.6,33.4,29.4
Blue Lake,45.0,35.0,2011-2012,2012,77.77777777777779,1600000US0607162,50.2,49.8,5.4,9.8,7.8,3.2,6.9,15.8,15.3,14.3,6.5,7.2,4.2,2.4,1.4,36.0,5.3,80.0,2.8,7.3,1.7,0.3,5.0,50329.0,79.5,61.5,26.9,20.5
Blythe,2169.0,2075.0,2011-2012,2012,95.66620562471185,1600000US0607218,69.2,30.8,5.4,4.7,5.8,5.7,7.3,18.7,16.9,17.3,6.5,4.3,4.6,2.3,0.5,36.1,50.4,32.0,13.4,0.4,2.2,0.2,3.0,48327.0,84.1,58.9,32.7,15.9
Bodega Bay,11.0,9.0,2011-2012,2012,81.81818181818183,1600000US0607260,42.5,57.5,2.8,7.3,0.0,2.9,2.4,9.5,6.7,7.3,18.5,17.2,13.0,8.5,4.0,56.8,3.6,86.3,0.0,0.0,10.0,0.0,0.0,67328.0,100.0,91.0,29.1,0.0
Bolinas,49.0,40.0,2011-2012,2012,81.63265306122449,1600000US0607316,48.7,51.3,2.0,5.7,4.5,3.3,3.1,7.9,18.9,10.6,14.4,10.5,14.5,2.1,2.4,48.3,5.6,86.6,5.6,0.0,2.3,0.0,0.0,54635.0,83.1,65.5,30.3,16.9
Bonita,286.0,279.0,2011-2012,2012,97.55244755244755,1600000US0607414,49.7,50.3,5.0,4.5,5.9,6.6,5.5,8.9,13.9,13.0,8.5,8.3,10.0,6.9,2.9,44.8,46.7,39.5,3.9,1.3,7.1,0.1,2.9,82214.0,85.5,75.4,27.6,14.5
Bonsall,540.0,517.0,2011-2012,2012,95.74074074074073,1600000US0607498,49.1,50.9,3.6,7.6,5.5,6.2,4.7,9.0,14.5,13.6,6.3,10.5,11.1,4.8,2.7,43.8,19.2,69.4,2.5,0.3,5.9,0.0,5.4,77061.0,90.1,75.4,27.7,9.9
Boonville,351.0,341.0,2011-2012,2012,97.15099715099716,1600000US0607512,56.8,43.2,4.1,6.6,2.3,8.6,11.4,14.9,11.8,15.2,7.9,2.1,4.7,4.1,6.2,36.7,60.8,38.1,0.0,1.1,0.0,0.0,0.0,36632.0,67.4,40.1,36.5,32.6
