FACILITY_NUMBER,COUNTY,pub_priv_headstart,CITY,FACILITY_NAME,ENROLLMENT,n,pct,vac_info_type,REPORTED
13420954,Alameda,PUBLIC,Hayward,HUSD - FAIRVIEW STATE PRESCHOOL,46,43,93,childcare,Y
13420955,Alameda,PUBLIC,Hayward,HUSD - HARDER STATE PRESCHOOL,47,47,100,childcare,Y
13421426,Alameda,PUBLIC,Hayward,HUSD - PARK STATE PRESCHOOL,47,46,97,childcare,Y
10214552,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - BOWMAN,46,42,91,childcare,Y
10214554,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - CHERRYLAND,48,48,100,childcare,Y
10206034,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - HELEN TURNER,219,208,94,childcare,Y
10214550,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - MUIR,86,81,94,childcare,Y
10214551,Alameda,PUBLIC,Hayward,HUSD CHILD DEV. PROGRAM - SHEPHERD,48,47,97,childcare,Y
13414055,Alameda,PUBLIC,Hayward,HUSD CHILD DEVELOPMENT CTR. - PALMA CEIA,44,43,97,childcare,Y
10216208,Alameda,PRIVATE,Oakland,ILE OMODE SCHOOL,21,17,80,childcare,Y
10200334,Alameda,PUBLIC,Dublin,JOHN KNOX CO-OP PRESCHOOL,75,74,98,childcare,Y
10205609,Alameda,PRIVATE,Dublin,JOY PRESCHOOL AND DAY CARE CENTER,30,29,96,childcare,Y
13422000,Alameda,PRIVATE,Dublin,JOYFUL KIDS ACADEMY,19,18,94,childcare,Y
13421392,Alameda,PRIVATE,Union City,KIDANGO - ALVARADO,42,42,100,childcare,Y
13419486,Alameda,PRIVATE,Hayward,KIDANGO - AMADOR,79,79,100,childcare,Y
13420603,Alameda,PRIVATE,San Lorenzo,KIDANGO - BAY,44,44,100,childcare,Y
13416835,Alameda,PRIVATE,Fremont,KIDANGO - CARLSON CENTER,20,20,100,childcare,Y
13420905,Alameda,PRIVATE,Hayward,KIDANGO - COLONIAL ACRES,47,47,100,childcare,Y
13420560,Alameda,PUBLIC,San Leandro,KIDANGO - CORVALIS,46,46,100,childcare,Y
13420602,Alameda,PRIVATE,San Leandro,KIDANGO - DAYTON,49,48,97,childcare,Y
13416345,Alameda,PRIVATE,Union City,KIDANGO - DECOTO INFANT CENTER,10,10,100,childcare,Y
13420562,Alameda,PRIVATE,San Lorenzo,KIDANGO - DEL REY,49,48,97,childcare,Y
13422029,Alameda,PUBLIC,Hayward,KIDANGO - EDEN YOUTH CENTER,53,53,100,childcare,Y
13421333,Alameda,PRIVATE,Dublin,KIDANGO - EMERALD VISTA,70,68,97,childcare,Y
13421406,Alameda,PUBLIC,Newark,KIDANGO - GRAHAM,55,53,96,childcare,Y
13420559,Alameda,PRIVATE,San Lorenzo,KIDANGO - GRANT,48,48,100,childcare,Y
13420558,Alameda,PRIVATE,San Lorenzo,KIDANGO - HESPERIAN,49,47,95,childcare,Y
10214395,Alameda,PRIVATE,Fremont,KIDANGO - MARIE KAISER INFANT CENTER,12,11,91,childcare,Y
13421391,Alameda,PRIVATE,Union City,KIDANGO - PIONEER,35,35,100,childcare,Y
10206134,Alameda,PRIVATE,Fremont,KIDANGO - RIX CENTER,212,203,95,childcare,Y
13421997,Alameda,PRIVATE,Newark,KIDANGO - SCHILLING,50,50,100,childcare,Y
13416238,Alameda,PRIVATE,Union City,KIDANGO - SEARLES CHILD DEVELOPMENT CENTER,45,44,97,childcare,Y
13416126,Alameda,PRIVATE,Fremont,KIDANGO - SHARON JONES CENTER,50,47,94,childcare,Y
13420561,Alameda,PUBLIC,Hayward,KIDANGO - SUNSET,48,48,100,childcare,Y
13416836,Alameda,PRIVATE,Fremont,KIDANGO - WASHINGTON HOSPITAL CENTER,39,39,100,childcare,Y
13419447,Alameda,PRIVATE,Livermore,KIDANGO ALMOND,62,59,95,childcare,Y
13419469,Alameda,PRIVATE,Hayward,KIDANGO HELEN TURNER,41,40,97,childcare,Y
13419429,Alameda,PRIVATE,Union City,KIDANGO LOGAN,44,44,100,childcare,Y
13415231,Alameda,PRIVATE,Union City,KIDANGO-DECOTO,66,66,100,childcare,Y
10214911,Alameda,PRIVATE,Fremont,KIDANGO-DELAINE EASTIN CHILD DEV. CENTER,18,18,100,childcare,Y
13411214,Alameda,PRIVATE,Hayward,KIDANGO-GLEN BERRY CHILD DEVELOPMENT CENTER,28,28,100,childcare,Y
13416125,Alameda,PRIVATE,Union City,KIDANGO-GUY EMANUELE,44,44,100,childcare,Y
13415366,Alameda,PRIVATE,Hayward,KIDANGO-HILLVIEW CREST CHILD DEVELOPMENT CENTER,72,72,100,childcare,Y
13415911,Alameda,PRIVATE,Union City,KIDANGO-KITAYAMA CHILD DEVELOPMENT CENTER,43,43,100,childcare,Y
13418956,Alameda,PRIVATE,Livermore,KIDANGO-MARYLIN AVENUE,20,20,100,childcare,Y
10200356,Alameda,PRIVATE,Alameda,KIDDIE KAMPUS COOPERATIVE PLAY SCHOOL,30,28,93,childcare,Y
13415189,Alameda,PRIVATE,Fremont,KIDDO LAND LEARNING CENTER,42,42,100,childcare,Y
13421340,Alameda,PRIVATE,Fremont,KIDS CORNER MONTESSORI,137,137,100,childcare,Y
13422035,Alameda,PRIVATE,Albany,KIDS INTO SPEAKING SPANISH,15,14,93,childcare,Y
13421331,Alameda,PRIVATE,Oakland,KIDS INTO SPEAKING SPANISH,46,45,97,childcare,Y
13421349,Alameda,PRIVATE,Oakland,KIDS KONNECT CHILD DEVELOPMENT CENTER,17,17,100,childcare,Y
13412601,Alameda,PRIVATE,Fremont,KINDERCARE LEARNING CENTER,87,82,94,childcare,Y
13414408,Alameda,PRIVATE,Fremont,KINDERCARE LEARNING CENTER,87,86,98,childcare,Y
13412608,Alameda,PRIVATE,Livermore,KINDERCARE LEARNING CENTER,43,43,100,childcare,Y
13412627,Alameda,PUBLIC,Alameda,"KINDERCARE LEARNING CENTER, 1335",32,30,93,childcare,Y
10214880,Alameda,PRIVATE,Newark,"KING'S KIDS PRESCHOOL, THE",77,76,98,childcare,Y
10216514,Alameda,PRIVATE,Pleasanton,LA PETITE ACADEMY - PLEASANTON,54,34,62,childcare,Y
13416527,Alameda,PRIVATE,Dublin,LA PETITE ACADEMY - SYBER KIDS,27,27,100,childcare,Y
13422016,Alameda,PRIVATE,Oakland,LA PLAZITA PRESCHOOL II,59,59,100,childcare,Y
13421343,Alameda,PRIVATE,Oakland,LAKE MERRITT CHILD CARE CENTER,81,81,100,childcare,Y
10205449,Alameda,PRIVATE,Oakland,LAKE SCHOOL -THE-,67,66,98,childcare,Y
10200370,Alameda,PRIVATE,Oakland,LAKESHORE CHILDREN'S CENTER,41,41,100,childcare,Y
10210735,Alameda,PRIVATE,Oakland,LAKEVIEW PRESCHOOL,32,32,100,childcare,Y
10206129,Alameda,PUBLIC,Oakland,LANEY CHILDRENS CENTER,59,53,89,childcare,Y
13420889,Alameda,PUBLIC,Livermore,LAS POSITAS COLLEGE CHILD DEVELOPMENT CENTER,37,37,100,childcare,Y
13421428,Alameda,PRIVATE,Alameda,LAS SEMILLITAS COOPERATIVE PRESCHOOL,15,12,80,childcare,Y
10210125,Alameda,PRIVATE,Hayward,LEA'S CHRISTIAN SCHOOL-CHILD CARE CENTER,44,44,100,childcare,Y
13420908,Alameda,PRIVATE,Fremont,LEARN AND PLAY MONTESSORI,62,62,100,childcare,Y
13421408,Alameda,PRIVATE,Dublin,LEARN AND PLAY MONTESSORI SCHOOL LLC,89,86,96,childcare,Y
13422008,Alameda,PRIVATE,Fremont,LEARN AND PLAY MONTESSORI SCHOOL LLC,151,149,98,childcare,Y
13419484,Alameda,PRIVATE,Fremont,LEARN AND PLAY MONTESSORI SCHOOL LLC,125,120,96,childcare,Y
13420604,Alameda,PRIVATE,Fremont,LEARN AND PLAY MONTESSORI SCHOOL LLC,227,195,85,childcare,Y
13420912,Alameda,PRIVATE,San Leandro,LEARNING CLOCK MONTESSORI SCHOOL,14,14,100,childcare,Y
13418973,Alameda,PRIVATE,Fremont,"LEARNING TREE, THE",62,62,100,childcare,Y
13421352,Alameda,PRIVATE,Livermore,"LEARNING TREE, THE",75,73,97,childcare,Y
13420526,Alameda,PRIVATE,San Leandro,LI'L ANGELS AT FARGO,43,41,95,childcare,Y
13414849,Alameda,PUBLIC,Hayward,LI'L ANGELS AT RUUS,58,58,100,childcare,Y
10213461,Alameda,PRIVATE,San Lorenzo,LIGHTHOUSE KIDDIE KINGDOM,11,11,100,childcare,Y
13422020,Alameda,PRIVATE,Hayward,LIL ANGELS CENTERS FOR EARLY EDUCATION,31,31,100,childcare,Y
13420919,Alameda,PRIVATE,Fremont,"LIL GENIUS KID - FREMONT BLVD I, THE",36,36,100,childcare,Y
13421401,Alameda,PRIVATE,Fremont,"LIL GENIUS KID - FREMONT BLVD I, THE",25,25,100,childcare,Y
13421342,Alameda,PRIVATE,Fremont,"LIL GENIUS KID - FREMONT BLVD II, THE",12,12,100,childcare,Y
10200389,Alameda,PRIVATE,Piedmont,LINDA BEACH COOPERATIVE PLAY SCHOOL,27,27,100,childcare,Y
13417509,Alameda,PRIVATE,Oakland,LITTLE ELEPHANT MONTESSORI,26,26,100,childcare,Y
13420536,Alameda,PRIVATE,Newark,LITTLE FLOWERS LEARNING CENTER,71,71,100,childcare,Y
13420906,Alameda,PRIVATE,Fremont,LITTLE FLOWERS MONTESSORI,109,109,100,childcare,Y
13420578,Alameda,PRIVATE,Newark,LITTLE FLOWERS MONTESSORI,55,54,98,childcare,Y
13420907,Alameda,PRIVATE,Pleasanton,LITTLE FLOWERS MONTESSORI,147,147,100,childcare,Y
13420945,Alameda,PRIVATE,Pleasanton,LITTLE FLOWERS MONTESSORI - BERNAL,96,95,98,childcare,Y
13418197,Alameda,PRIVATE,Fremont,"LITTLE FLOWERS MONTESSORI, INC",192,192,100,childcare,Y
13420898,Alameda,PRIVATE,Dublin,LITTLE GENIUS MONTESSORI,29,29,100,childcare,Y
10215677,Alameda,PRIVATE,Fremont,"LITTLE MUD PUDDLES LEARNING CENTER, THE",84,84,100,childcare,Y
10214282,Alameda,PRIVATE,Union City,LITTLE PEOPLES PRESCHOOL & DAY CARE,63,63,100,childcare,Y
13419407,Alameda,PRIVATE,Alameda,LITTLE SEEDS CHILDREN'S CENTER,36,36,100,childcare,Y
13417102,Alameda,PRIVATE,Oakland,LITTLE SPROUTS PRESCHOOL,26,23,88,childcare,Y
13412488,Alameda,PRIVATE,Oakland,LITTLE STARS PRESCHOOL,47,37,78,childcare,Y
13419418,Alameda,PRIVATE,Castro Valley,LITTLE SUNSHINE LEARNING CENTER,55,54,98,childcare,Y
13418159,Alameda,PRIVATE,Albany,LITTLE VILLAGE PRESCHOOL,21,21,100,childcare,Y
13420543,Alameda,PRIVATE,Oakland,"LIVE, LEARN, AND LAUGH",11,10,90,childcare,Y
10211015,Alameda,PRIVATE,Livermore,LIVERMORE PLAYSCHOOL,85,84,98,childcare,Y
10210116,Alameda,PRIVATE,Livermore,LLESA CHILDREN'S CENTER,48,48,100,childcare,Y
10211701,Alameda,PRIVATE,San Lorenzo,LOLLIPOP LANE PRE-SCHOOL,105,99,94,childcare,Y
13418094,Alameda,PRIVATE,Pleasanton,LOVE AND CARE PRESCHOOL,27,27,100,childcare,Y
10206141,Alameda,PUBLIC,Oakland,MERRITT CHILDREN'S CENTER,42,37,88,childcare,Y
10214929,Alameda,PUBLIC,Oakland,MERRITT COLLEGE PRESCHOOL PRACTICUM,12,10,83,childcare,Y
10213815,Alameda,PRIVATE,Oakland,MILLS COLLEGE CHILDREN'S SCHOOL,60,57,95,childcare,Y
13420917,Alameda,PRIVATE,Castro Valley,MISS HELENS PRESCHOOL,18,18,100,childcare,Y
13420595,Alameda,PRIVATE,Fremont,MISSION SAN JOSE CHILDREN'S HOUSE,27,27,100,childcare,Y
13417530,Alameda,PRIVATE,Fremont,MISSION VALLEY MONTESSORI CHILDREN'S LRNG. CENT.,152,152,100,childcare,Y
10216398,Alameda,PRIVATE,Oakland,MONTCLAIR COMMUNITY PLAY CENTER,33,30,90,childcare,Y
13412618,Alameda,PRIVATE,Fremont,MONTESSORI CHILDREN'S CENTER,83,76,91,childcare,Y
