county,enrollment,vaccinated,s_year,vac_pct,geoid
Santa Clara,84873.0,81948.0,2018,96.55367431338588,0500000US06085
Santa Cruz,9759.0,9014.0,2018,92.36602110872015,0500000US06087
Shasta,6113.0,5709.0,2018,93.39113364959921,0500000US06089
Sierra,89.0,80.0,2018,89.8876404494382,0500000US06091
Siskiyou,1176.0,1065.0,2018,90.56122448979592,0500000US06093
Solano,13693.0,13229.0,2018,96.61140728839554,0500000US06095
Sonoma,17238.0,16133.0,2018,93.58974358974359,0500000US06097
Stanislaus,23888.0,22984.0,2018,96.21567314132619,0500000US06099
Sutter,5884.0,5011.0,2018,85.1631543167913,0500000US06101
Tehama,2355.0,2260.0,2018,95.96602972399151,0500000US06103
Trinity,122.0,114.0,2018,93.44262295081968,0500000US06105
Tulare,22047.0,21398.0,2018,97.05628883748356,0500000US06107
Tuolumne,1429.0,1300.0,2018,90.97270818754374,0500000US06109
Ventura,34578.0,33252.0,2018,96.16519174041298,0500000US06111
Yolo,8048.0,7718.0,2018,95.8996023856859,0500000US06113
Yuba,3375.0,3194.0,2018,94.63703703703705,0500000US06115
