GEO.id,county,tot_pop,male,female,under_5,5_9,10_14,15_19,20_24,25_34,35_44,45_54,55_59,60_64,65_74,75_84,85_over,median_age,hispanic_latino,white,black,aian,asian,nhopi,other,median_income,insurance,private_insure,public_insure,no_insurance,year
0500000US06003,Alpine ,1165,708,457,43,112,42,90,64,83,162,115,142,86,113,113,0,44.3,87,823,7,200,17,27,8,58636,891.0,586.0,467.0,274.0,2013
0500000US06005,Amador ,37422,20236,17186,1290,1701,1734,2160,1681,3417,4271,6185,3679,3158,4756,2459,931,49.1,4710,29928,893,623,503,79,1372,53684,29285.0,23063.0,13480.0,3834.0,2013
0500000US06007,Butte ,220542,109200,111342,12245,12180,13072,16640,25197,26304,23228,27669,14931,14226,18166,11175,5509,37.0,32084,164932,2795,1677,9406,333,18564,43752,184152.0,129994.0,84339.0,34272.0,2013
0500000US06009,Calaveras ,45147,22612,22535,1846,2374,2509,2811,2061,3408,4420,7147,4394,4080,6245,2592,1260,50.0,4794,37570,378,349,553,9,2981,55295,39532.0,31614.0,16868.0,5141.0,2013
0500000US06011,Colusa ,21366,11064,10302,1770,1768,1619,1720,1370,2688,2686,2750,1145,1239,1435,935,241,33.9,11953,8338,174,181,245,16,918,52158,16542.0,10497.0,8041.0,4581.0,2013
0500000US06013,Contra Costa ,1065794,520220,545574,66149,74174,73211,73579,63053,131727,148550,164085,71063,62152,76680,41121,20250,38.6,261427,503167,93777,2869,154869,4731,86775,78756,933765.0,780247.0,269498.0,126165.0,2013
0500000US06015,Del Norte ,28357,15733,12624,1820,1557,1558,1941,1944,3827,3436,4515,1928,1805,2411,1184,431,39.1,5217,18205,889,1223,709,100,3988,37909,21153.0,12765.0,11850.0,3726.0,2013
0500000US06017,El Dorado ,180982,90576,90406,8982,11023,12164,12328,9487,17334,21363,31220,15508,13446,16672,7983,3472,44.1,22034,144293,1480,1281,6358,188,10618,69297,161594.0,137085.0,50234.0,18382.0,2013
0500000US06019,Fresno ,939605,469204,470401,79482,77388,73890,77505,77703,135615,114748,114497,49878,41711,52629,29957,14602,30.9,477078,302091,45457,4814,88753,1216,38606,45563,746473.0,453593.0,372847.0,181440.0,2013
0500000US06021,Glenn ,28054,14194,13860,2037,1892,2466,2126,1788,3118,3563,3915,1515,1822,2099,1225,488,37.2,10726,15447,196,543,703,36,781,43023,21992.0,14269.0,10933.0,5722.0,2013
0500000US06023,Humboldt ,134613,67457,67156,7464,7293,7239,9629,12474,19293,15368,17755,10930,8759,10361,5600,2448,37.5,13584,103483,1552,7260,3070,465,10183,41426,107595.0,75594.0,48523.0,25856.0,2013
0500000US06025,Imperial ,175201,90083,85118,14112,14160,13706,14594,14014,24169,22182,22204,9962,7136,10209,6589,2164,31.8,141709,23456,4938,1343,2308,99,2585,41807,129824.0,74240.0,65617.0,35097.0,2013
0500000US06027,Inyo ,18482,9312,9170,1095,921,1149,1082,863,2038,1950,2776,1519,1525,1833,1180,551,45.7,3684,12051,170,1913,271,32,632,44796,15449.0,11319.0,7034.0,2737.0,2013
