facility_num,county,is_public,city,facility_name,enrollment,n,pct,reported,vac_info_type
6968119.0,Los Angeles,PRIVATE,Rolling Hills Estates,ROLLING HILLS COUNTRY DAY SCHOOL,47.0,46.0,97.87234,Y,7thGradeData
6914477.0,Los Angeles,PRIVATE,Rosemead,DON BOSCO TECHNICAL INSTITUTE,106.0,105.0,99.0566,Y,7thGradeData
6914477.0,Los Angeles,PRIVATE,Rosemead,DON BOSCO TECHNICAL INSTITUTE,102.0,102.0,100.0,Y,7thGradeData
6914477.0,Los Angeles,PRIVATE,Rosemead,DON BOSCO TECHNICAL INSTITUTE,99.0,99.0,100.0,Y,7thGradeData
6914477.0,Los Angeles,PRIVATE,Rosemead,DON BOSCO TECHNICAL INSTITUTE,124.0,124.0,100.0,Y,7thGradeData
7081268.0,Los Angeles,PRIVATE,San Dimas,CANYON VIEW SCHOOL,16.0,16.0,100.0,Y,7thGradeData
7081268.0,Los Angeles,PRIVATE,San Dimas,CANYON VIEW SCHOOL,16.0,16.0,100.0,Y,7thGradeData
7081268.0,Los Angeles,PRIVATE,San Dimas,CANYON VIEW SCHOOL,18.0,18.0,100.0,Y,7thGradeData
7081268.0,Los Angeles,PRIVATE,San Dimas,CANYON VIEW SCHOOL,22.0,22.0,100.0,Y,7thGradeData
7081268.0,Los Angeles,PRIVATE,San Dimas,CANYON VIEW SCHOOL,19.0,19.0,100.0,Y,7thGradeData
6962369.0,Los Angeles,PRIVATE,San Dimas,HOLY NAME OF MARY,34.0,34.0,100.0,Y,7thGradeData
6962369.0,Los Angeles,PRIVATE,San Dimas,HOLY NAME OF MARY,35.0,35.0,100.0,Y,7thGradeData
6964761.0,Los Angeles,PRIVATE,San Fernando,SANTA ROSA DE LIMA,13.0,7.0,53.84615,Y,7thGradeData
6964761.0,Los Angeles,PRIVATE,San Fernando,SANTA ROSA DE LIMA,28.0,21.0,75.0,Y,7thGradeData
6963789.0,Los Angeles,PRIVATE,San Fernando,ST. FERDINAND ELEMENTARY,23.0,22.0,95.65217,Y,7thGradeData
6963789.0,Los Angeles,PRIVATE,San Fernando,ST. FERDINAND ELEMENTARY,18.0,17.0,94.44444,Y,7thGradeData
6967889.0,Los Angeles,PRIVATE,San Gabriel,CLAIRBOURN SCHOOL,21.0,21.0,100.0,Y,7thGradeData
6967889.0,Los Angeles,PRIVATE,San Gabriel,CLAIRBOURN SCHOOL,34.0,32.0,94.11765,Y,7thGradeData
6935803.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL ACADEMY,26.0,24.0,92.30769,Y,7thGradeData
6935803.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL ACADEMY,33.0,31.0,93.93939,Y,7thGradeData
6935803.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL ACADEMY,54.0,46.0,85.18519,Y,7thGradeData
6935803.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL ACADEMY,81.0,74.0,91.35802,Y,7thGradeData
6935803.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL ACADEMY,69.0,66.0,95.65217,Y,7thGradeData
6935803.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL ACADEMY,64.0,59.0,92.1875,Y,7thGradeData
6982904.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL CHRISTIAN,42.0,41.0,97.61905,Y,7thGradeData
6982904.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL CHRISTIAN,69.0,67.0,97.10145,Y,7thGradeData
6982912.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL MISSION ELEMENTARY,33.0,33.0,100.0,Y,7thGradeData
6982912.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL MISSION ELEMENTARY,36.0,36.0,100.0,Y,7thGradeData
6935811.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL MISSION HIGH,64.0,64.0,100.0,Y,7thGradeData
6935811.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL MISSION HIGH,52.0,51.0,98.07692,Y,7thGradeData
6935811.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL MISSION HIGH,62.0,62.0,100.0,Y,7thGradeData
6935811.0,Los Angeles,PRIVATE,San Gabriel,SAN GABRIEL MISSION HIGH,57.0,57.0,100.0,Y,7thGradeData
6963425.0,Los Angeles,PRIVATE,San Gabriel,ST. ANTHONY,20.0,20.0,100.0,Y,7thGradeData
6963425.0,Los Angeles,PRIVATE,San Gabriel,ST. ANTHONY,13.0,13.0,100.0,Y,7thGradeData
6935860.0,Los Angeles,PRIVATE,San Marino,SOUTHWESTERN ACADEMY,10.0,10.0,100.0,Y,7thGradeData
6935860.0,Los Angeles,PRIVATE,San Marino,SOUTHWESTERN ACADEMY,26.0,25.0,96.15385,Y,7thGradeData
6935860.0,Los Angeles,PRIVATE,San Marino,SOUTHWESTERN ACADEMY,39.0,39.0,100.0,Y,7thGradeData
6935860.0,Los Angeles,PRIVATE,San Marino,SOUTHWESTERN ACADEMY,37.0,37.0,100.0,Y,7thGradeData
6935860.0,Los Angeles,PRIVATE,San Marino,SOUTHWESTERN ACADEMY,25.0,25.0,100.0,Y,7thGradeData
6963771.0,Los Angeles,PRIVATE,San Marino,ST. FELICITAS AND ST. PERPETUA ELEMENTARY,29.0,29.0,100.0,Y,7thGradeData
6963771.0,Los Angeles,PRIVATE,San Marino,ST. FELICITAS AND ST. PERPETUA ELEMENTARY,27.0,27.0,100.0,Y,7thGradeData
6962401.0,Los Angeles,PRIVATE,Los Angeles,HOLY TRINITY ELEMENTARY,66.0,65.0,98.48485,Y,7thGradeData
